SYSTEM,STANDARD_IDENTIFIER,STANDARD_DISPLAY,RANK
LOINC,25137-1,Succinylacetone/Creatinine [Molar ratio] in Urine,3785
LOINC,41832-7,XR Ribs - left Views and Chest PA,-1
LOINC,42010-9,XR Ribs - right Views and Chest PA,-1
LOINC,44179-0,XR Sacrum and Coccyx 2 Views,-1
LOINC,79367-9,XR Sacrum and Coccyx GE 2 Views,-1
LOINC,27057-9,Serotonin [Mass/volume] in Serum,2703
LOINC,2939-7,Serotonin [Mass/volume] in Blood,4170
LOINC,86010-6,Streptococcus pneumoniae Danish serotype 17F IgG Ab [Mass/volume] in Serum by Immunoassay,4414
LOINC,86038-7,Streptococcus pneumoniae Danish serotype 2 IgG Ab [Mass/volume] in Serum by Immunoassay,4415
LOINC,86099-9,Streptococcus pneumoniae Danish serotype 10A IgG Ab [Mass/volume] in Serum by Immunoassay,4416
LOINC,86123-7,Streptococcus pneumoniae Danish serotype 11A IgG Ab [Mass/volume] in Serum by Immunoassay,4423
LOINC,47356-1,Streptococcus pneumoniae Danish serotype 15B IgG Ab [Mass/volume] in Serum by Immunoassay,4419
LOINC,40915-1,Streptococcus pneumoniae Danish serotype 19A IgG Ab [Mass/volume] in Serum by Immunoassay,4389
LOINC,86138-5,Streptococcus pneumoniae Danish serotype 6A IgG Ab [Mass/volume] in Serum by Immunoassay,8540
LOINC,5812-3,Sulfonamide crystals [Presence] in Urine sediment by Light microscopy,6917
LOINC,35651-9,Synovial lining cells/100 cells in Synovial fluid,6534
LOINC,15209-0,Saccharomonospora viridis Ab [Presence] in Serum by Immune diffusion (ID),5696
LOINC,42165-1,XR Ribs Views and Chest PA,-1
LOINC,24665-2,XR Sacrum and Coccyx Views,8138
LOINC,60996-6,Right atrial pressure,2726
LOINC,89017-8,Hearing threshold Ear - right --1000 Hz,-1
LOINC,89019-4,Hearing threshold Ear - right --2000 Hz,-1
LOINC,89023-6,Hearing threshold Ear - right --4000 Hz,-1
LOINC,89025-1,Hearing threshold Ear - right --500 Hz,-1
LOINC,8862-5,Right ventricular Stroke work,-1
LOINC,43994-3,Trisomy 18 risk [Likelihood] in Fetus,1653
LOINC,48671-2,Prostate cancer risk [Likelihood] by Estimated,413
LOINC,9393-0,risperiDONE [Mass/volume] in Serum or Plasma,7380
LOINC,9394-8,risperiDONE+9-Hydroxyrisperidone [Mass/volume] in Serum or Plasma,7540
LOINC,4680-5,von Willebrand factor (vWf) ristocetin cofactor [Units/volume] in Platelet poor plasma,7824
LOINC,33507-5,Alpha-Phenyl-2-Piperidine acetate [Mass/volume] in Urine,8568
LOINC,61058-4,Alpha-Phenyl-2-Piperidine acetate [Presence] in Urine,4813
LOINC,5880-0,Rotavirus Ag [Presence] in Stool by Immunoassay,3066
LOINC,4024-6,Salicylates [Mass/volume] in Serum or Plasma,386
LOINC,40969-8,Streptococcus pneumoniae Danish serotype 33F IgG Ab [Mass/volume] in Serum,2288
LOINC,6906-2,Sertraline [Mass/volume] in Serum or Plasma,8058
LOINC,11158-3,Appearance of Serum,5399
LOINC,2991-8,Testosterone Free [Mass/volume] in Serum or Plasma,492
LOINC,3128-6,Viscosity of Serum,3111
SNOMED CT,418201002,On examination - pinhole visual acuity right eye (finding),-1
SNOMED CT,397535006,Corrected visual acuity - right eye (observable entity),-1
SNOMED CT,386712004,Near visual acuity - right eye (observable entity),-1
LOINC,5334-8,Rubella virus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,534
LOINC,5335-5,Rubella virus IgM Ab [Units/volume] in Serum by Immunoassay,4474
LOINC,10333-3,Appearance of Cerebral spinal fluid,1139
LOINC,33511-7,Appearance of Specimen,168
LOINC,11282-1,Cells Counted Total [#] in Blood,436
LOINC,26613-0,Sarcosine [Moles/volume] in Serum or Plasma,2829
LOINC,26598-3,Sarcosine [Moles/volume] in Cerebral spinal fluid,8768
LOINC,2709-4,Oxygen saturation in Capillary blood,1701
LOINC,37648-3,XR Sacroiliac Joint 3 Views,-1
LOINC,25133-0,Sarcosine/Creatinine [Molar ratio] in Urine,12561
LOINC,94563-4,SARS-CoV-2 (COVID-19) IgG Ab [Presence] in Serum or Plasma by Immunoassay,5960
LOINC,94505-5,SARS-CoV-2 (COVID-19) IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,789
LOINC,94564-2,SARS-CoV-2 (COVID-19) IgM Ab [Presence] in Serum or Plasma by Immunoassay,-1
LOINC,94762-2,SARS-CoV-2 (COVID-19) Ab [Presence] in Serum or Plasma by Immunoassay,-1
LOINC,7674-5,Rye IgE Ab [Units/volume] in Serum,2273
LOINC,28570-0,Procedure note,-1
LOINC,6252-1,Stemphylium botryosum IgE Ab [Units/volume] in Serum,3807
LOINC,42816-9,Stachybotrys chartarum IgG Ab [Mass/volume] in Serum,7922
LOINC,17652-9,Streptococcus pneumoniae Ag [Presence] in Specimen by Latex agglutination,10611
LOINC,31969-9,Streptococcus pneumoniae Ag [Presence] in Specimen,1316
LOINC,85955-3,Streptococcus pneumoniae Danish serotype 1 IgG Ab [Mass/volume] in Serum by Immunoassay,5865
LOINC,85977-7,Streptococcus pneumoniae Danish serotype 12F IgG Ab [Mass/volume] in Serum,1972
LOINC,94769-7,SARS-CoV-2 (COVID-19) Ab [Units/volume] in Serum or Plasma by Immunoassay,-1
LOINC,15507-7,Emergency department Progress note,-1
LOINC,10378-8,Polychromasia [Presence] in Blood by Light microscopy,312
LOINC,16934-2,Hepatitis B virus polymerase DNA [Presence] in Blood by NAA with probe detection,9940
LOINC,8906-0,Pulse intensity Popliteal artery - left by palpation,-1
LOINC,8907-8,Pulse intensity Popliteal artery - right by palpation,-1
LOINC,35543-8,Pork IgG Ab [Mass/volume] in Serum,9082
LOINC,49228-0,Porphobilinogen deaminase [Enzymatic activity/mass] in Red Blood Cells,7975
LOINC,6524-3,Rabies virus neutralizing antibody [Units/volume] in Serum by Neutralization test,8424
LOINC,8910-2,Pulse intensity Radial artery - left by palpation,-1
LOINC,8911-0,Pulse intensity Radial artery - right by palpation,-1
LOINC,73575-3,Radiology Consult note,-1
LOINC,15975-6,Deprecated Common Ragweed IgE Ab RAST class [Presence] in Serum,-1
LOINC,13797-6,Porphobilinogen/Creatinine [Mass Ratio] in Urine,12045
LOINC,2888-6,Protein [Mass/volume] in Urine,220
LOINC,33959-8,Procalcitonin [Mass/volume] in Serum or Plasma,334
LOINC,2839-9,Progesterone [Mass/volume] in Serum or Plasma,557
LOINC,11506-3,Progress note,-1
LOINC,8336-0,Body weight [Percentile] Per age,916
SNOMED CT,348551000119107,Periorbital edema of left eye (disorder),-1
SNOMED CT,348101000119102,Periorbital edema of right eye (disorder),-1
LOINC,3934-7,Phencyclidine [Mass/volume] in Serum or Plasma,7768
LOINC,3935-4,Phencyclidine [Presence] in Serum or Plasma,9093
LOINC,2810-0,Porphobilinogen [Mass/time] in 24 hour Urine,7333
LOINC,75496-0,Telehealth Note,-1
LOINC,53731-6,Posaconazole [Mass/volume] in Serum or Plasma,3200
SNOMED CT,397155001,Body position (observable entity),-1
LOINC,50677-4,Semen analysis post vasectomy panel,4259
LOINC,8909-4,Pulse intensity Posterior tibial artery - left by palpation,-1
LOINC,8908-6,Pulse intensity Posterior tibial artery - right by palpation,-1
LOINC,29247-4,Sirolimus [Mass/volume] in Blood,828
LOINC,49580-4,HIV 1+2 Ab [Presence] in Specimen by Rapid immunoassay,1110
LOINC,78012-2,Streptococcus pyogenes Ag [Presence] in Throat by Rapid immunoassay,855
LOINC,52789-5,Clot initiation [Time] in Blood by Thromboelastography,3655
LOINC,27882-0,Proinsulin [Moles/volume] in Serum or Plasma,3605
LOINC,3948-7,PHENobarbital [Mass/volume] in Serum or Plasma,1390
LOINC,2705-2,Oxygen [Partial pressure] in Venous blood,231
LOINC,30552-4,Pyridoxal phosphate [Mass/volume] in Serum or Plasma,2859
LOINC,32338-6,Pyruvate [Moles/volume] in Serum or Plasma,9515
LOINC,52768-9,Clot formation [Time] in Blood by Thromboelastography,3637
LOINC,50378-9,von Willebrand factor (vWf).collagen binding activity/von Willebrand factor Ag [Ratio] in Platelet poor plasma by Immunoassay,7393
LOINC,29298-7,Reason for visit,8558
LOINC,2842-3,Prolactin [Mass/volume] in Serum or Plasma,508
LOINC,3949-5,PHENobarbital [Presence] in Urine,3999
LOINC,3952-9,Phenothiazines [Presence] in Serum or Plasma,-1
LOINC,2765-6,Phenylalanine [Mass/volume] in Serum or Plasma,9864
LOINC,22646-4,Phenylalanine [Moles/volume] in Cerebral spinal fluid,8691
LOINC,46746-4,Phenylketonuria and variants/Biopterin defects newborn screen interpretation,19766
LOINC,3968-5,Phenytoin [Mass/volume] in Serum or Plasma,874
LOINC,71773-6,Mycobacterium tuberculosis stimulated gamma interferon [Interpretation] in Blood Qualitative,451
LOINC,8633-0,QRS duration,1122
LOINC,3013-0,Thyroglobulin [Mass/volume] in Serum or Plasma,729
LOINC,5809-9,Reducing substances [Presence] in Urine,1760
LOINC,11060-1,Reducing substances [Presence] in Stool,3893
LOINC,42216-2,Referral lab name [Identifier],758
LOINC,22645-6,Proline [Moles/volume] in Cerebral spinal fluid,8688
LOINC,783-1,Promyelocytes/100 leukocytes in Blood by Manual count,354
LOINC,26776-5,QUEtiapine [Mass/volume] in Serum or Plasma,7195
LOINC,6694-4,quiNIDine [Mass/volume] in Serum or Plasma,5435
LOINC,57133-1,Referral note,-1
SNOMED CT,373148008,Thrombolytic agent not administered because contraindicated (situation),-1
SNOMED CT,712980007,Unfractionated heparin therapy (procedure),-1
LOINC,83712-0,Physical medicine and rehab Discharge summary,-1
LOINC,12248-1,Epithelial cells.renal [Presence] in Urine sediment by Light microscopy,403
LOINC,2915-7,Renin [Enzymatic activity/volume] in Plasma,1136
LOINC,40660-3,Promyelocytes/100 leukocytes in Body fluid by Manual count,18750
LOINC,6905-4,Propafenone [Mass/volume] in Serum or Plasma,9294
LOINC,2269-9,Complement factor B [Mass/volume] in Serum or Plasma,8274
LOINC,30551-6,Propionylcarnitine (C3) [Moles/volume] in Serum or Plasma,2449
LOINC,3543-6,Propoxyphene [Mass/volume] in Serum or Plasma,9393
LOINC,6216-6,Phoma betae IgE Ab [Units/volume] in Serum,3250
LOINC,35551-1,Phoma betae IgG Ab [Mass/volume] in Serum,13310
LOINC,2777-1,Phosphate [Mass/volume] in Serum or Plasma,55
LOINC,22488-1,Rickettsia typhi IgG Ab [Presence] in Serum,9845
LOINC,75490-3,Radiology Note,10224
LOINC,21551-7,"t(15;17)(q24.1;q21.1)(PML,RARA) fusion transcript [Presence] in Blood or Tissue by Molecular genetics method",6070
LOINC,35570-1,Renin [Mass/volume] in Plasma,2209
LOINC,38542-7,Repaglinide [Mass/volume] in Serum or Plasma,5850
LOINC,88085-6,Reportability response report Document Public health,-1
LOINC,6683-7,Reptilase time,1658
LOINC,3542-8,Propoxyphene [Presence] in Serum or Plasma,11641
LOINC,19141-1,Propoxyphene [Presence] in Urine,1852
LOINC,12839-7,Prostaglandin D2 [Mass/volume] in Serum or Plasma,10787
LOINC,20420-6,Prostatic acid phosphatase [Mass/volume] in Serum,6604
LOINC,12242-4,Phosphate [Mass/volume] in Body fluid,9277
LOINC,2778-9,Phosphate [Mass/volume] in Urine,2759
LOINC,11141-9,Phosphate/Creatinine [Mass Ratio] in Urine,11608
LOINC,789-8,Erythrocytes [#/volume] in Blood by Automated count,16
LOINC,31112-6,Reticulocytes/100 erythrocytes in Blood by Manual,962
LOINC,1836-6,Retinol binding protein [Mass/volume] in Serum or Plasma,6181
LOINC,27821-8,Protein S Free Ag actual/normal in Platelet poor plasma by Immunoassay,2984
LOINC,26597-5,Phosphoethanolamine [Moles/volume] in Cerebral spinal fluid,14751
LOINC,22029-3,Physical exam Narrative,-1
LOINC,6741-3,Erythrocytes [#/volume] in Body fluid by Manual count,1069
LOINC,32776-7,Erythrocytes [Presence] in Urine sediment by Light microscopy,541
LOINC,10331-7,Rh [Type] in Blood,553
LOINC,11572-5,Rheumatoid factor [Units/volume] in Serum or Plasma,497
LOINC,33910-1,Rheumatoid factor [Presence] in Serum,3267
LOINC,43932-3,Rheumatoid factor [Titer] in Body fluid,9596
LOINC,2880-3,Protein [Mass/volume] in Cerebral spinal fluid,736
LOINC,2886-0,Protein [Mass/volume] in Synovial fluid,4672
LOINC,2882-9,Protein [Mass/volume] in Pleural fluid,4641
LOINC,2883-7,Protein [Mass/volume] in Peritoneal fluid,9671
LOINC,6733-0,Pigeon serum Ab [Presence] in Serum by Immune diffusion (ID),3177
LOINC,10954-6,Pine Nut IgE Ab [Units/volume] in Serum,2437
LOINC,6676-1,Enterobius vermicularis [Presence] in Anal by Pinworm exam,5357
LOINC,50670-9,Erythrocyte agglutination [Presence] in Blood,7109
LOINC,5807-3,RBC casts [#/area] in Urine sediment by Microscopy low power field,2192
LOINC,81655-3,Respiratory pathogens DNA and RNA identified in Respiratory system specimen by NAA with probe detection,-1
LOINC,32355-0,Bacteria identified in Specimen by Respiratory culture,884
LOINC,9279-1,Respiratory rate,12
SNOMED CT,161920001,Respiratory symptom (finding),-1
LOINC,40595-1,Prothrombin IgG Ab [Units/volume] in Serum or Plasma,7682
LOINC,40596-9,Prothrombin IgM Ab [Units/volume] in Serum or Plasma,8936
LOINC,3999-0,Protriptyline [Mass/volume] in Serum or Plasma,8001
SNOMED CT,418363000,Itching of skin (finding),-1
SNOMED CT,225297008,Care planning and problem solving actions (procedure),-1
LOINC,33804-6,RBC casts [Presence] in Urine sediment by Light microscopy,4129
LOINC,63378-4,Erythrocyte clumps [Presence] in Urine sediment by Light microscopy,7620
LOINC,800-3,Schistocytes [Presence] in Blood by Light microscopy,487
LOINC,26746-8,Magnesium [Mass/volume] in Red Blood Cells,3615
LOINC,38105-3,XR Kidney Views W contrast retrograde,6305
LOINC,34830-0,Pulmonary Note,-1
LOINC,8385-7,Pulmonary artery Diastolic blood pressure,3470
LOINC,75994-4,Pulmonary artery wedge pressure,-1
LOINC,79426-3,Plasma cells/100 leukocytes in Blood by Manual count,830
LOINC,51386-1,Plasma cells/100 leukocytes in Body fluid by Manual count,18028
LOINC,28660-9,Plasminogen actual/normal in Platelet poor plasma by Chromogenic method,5556
LOINC,5974-1,Plasminogen activator inhibitor 1 [Units/volume] in Platelet poor plasma by Chromogenic method,12741
LOINC,7796-6,Platelet clump [Presence] in Blood by Light microscopy,867
LOINC,9317-9,Platelet adequacy [Presence] in Blood by Light microscopy,189
LOINC,33313-8,Rheumatoid factor IgA [Units/volume] in Serum,4673
LOINC,33314-6,Rheumatoid factor IgG [Units/volume] in Serum,4531
LOINC,9338-5,Rheumatoid factor IgM [Units/volume] in Serum by Immunoassay,7623
LOINC,13636-6,Ribosomal P Ab [Units/volume] in Serum,10757
LOINC,80819-6,Pulmonary Progress note,-1
SNOMED CT,271639008,Character of pulse (observable entity),-1
LOINC,8885-6,Heart rate measurement site,-1
LOINC,2021-4,Carbon dioxide [Partial pressure] in Venous blood,237
LOINC,788-0,Erythrocyte distribution width [Ratio] by Automated count,19
LOINC,17522-4,Reticulin IgA Ab [Titer] in Serum by Immunofluorescence,6161
LOINC,14273-7,Reticulin IgA Ab [Presence] in Serum,3480
LOINC,17849-1,Reticulocytes/100 erythrocytes in Blood by Automated count,425
LOINC,49836-0,Platelet function (closure time) [Interpretation] in Blood Narrative,3216
LOINC,11125-2,Platelet morphology finding [Identifier] in Blood,463
LOINC,18312-9,Platelet satellitism [Presence] in Blood by Light microscopy,9014
LOINC,33008-4,Neuronal nuclear type 2 Ab [Presence] in Serum by Immunoblot,8106
LOINC,41476-3,Rickettsia rickettsii IgG Ab [Presence] in Serum by Immunoassay,6480
LOINC,2829-0,Potassium [Moles/time] in 24 hour Urine,2663
LOINC,64298-3,Power of attorney,-1
LOINC,28561-9,XR Pelvis Views,5598
LOINC,31147-2,Reagin Ab [Titer] in Serum by RPR,1070
LOINC,14338-8,Prealbumin [Mass/volume] in Serum or Plasma,675
LOINC,2876-1,Prealbumin [Mass/volume] in Cerebral spinal fluid by Electrophoresis,7455
LOINC,13973-3,Prealbumin/Protein.total in Cerebral spinal fluid by Electrophoresis,8357
LOINC,34751-8,Anesthesiology Preoperative evaluation and management note,-1
SNOMED CT,428330008,Preferred mode of communication (observable entity),-1
SNOMED CT,446261000124104,Preferred name (qualifier value),-1
LOINC,47414-8,Pregabalin [Mass/volume] in Serum or Plasma,9275
LOINC,82810-3,Pregnancy status,5111
LOINC,30767-8,XR Pelvis and Hip Views,-1
LOINC,6521-9,Pneumocystis jiroveci DNA [Presence] in Specimen by NAA with probe detection,4737
LOINC,32999-5,Rickettsia spotted fever group IgG Ab [Presence] in Serum,7891
LOINC,5876-8,Respiratory syncytial virus Ag [Presence] in Specimen by Immunoassay,1117
LOINC,5877-6,Respiratory syncytial virus Ag [Presence] in Specimen by Immunofluorescence,8268
LOINC,30076-4,Respiratory syncytial virus B RNA [Presence] in Specimen by NAA with probe detection,4760
LOINC,2837-3,Pregnenolone [Mass/volume] in Serum or Plasma,2565
SNOMED CT,22253000,Pain (finding),-1
LOINC,20079-0,Pressure support setting Ventilator,1982
LOINC,6851-0,Penicillin G IgE Ab [Units/volume] in Serum,4025
LOINC,6210-9,Penicillin V IgE Ab [Units/volume] in Serum,4452
LOINC,700-5,Pneumocystis jiroveci Ag [Presence] in Specimen by Immunofluorescence,3624
LOINC,779-9,Poikilocytosis [Presence] in Blood by Light microscopy,398
LOINC,22446-9,Polio virus 1 Ab [Titer] in Serum,7354
LOINC,22448-5,Polio virus 2 Ab [Titer] in Serum,13690
LOINC,22450-1,Polio virus 3 Ab [Titer] in Serum,9270
LOINC,55100-2,Respiratory syncytial virus [Presence] in Specimen by Organism specific culture,8503
LOINC,40988-8,Respiratory syncytial virus RNA [Presence] in Specimen by NAA with probe detection,531
LOINC,3982-6,Procainamide [Mass/volume] in Serum or Plasma,5932
LOINC,3924-8,PENTobarbital [Mass/volume] in Serum or Plasma,4566
LOINC,3925-5,PENTobarbital [Presence] in Urine,7100
LOINC,42189-1,CD3+CD16+CD56+ cells/100 cells in Blood,4472
LOINC,8303-0,Body height [Percentile],732
LOINC,38505-4,Thyroglobulin recovery in Serum or Plasma,5158
LOINC,37905-7,XR Thoracic spine 2 Views,-1
LOINC,30753-8,XR Thoracic spine AP and Lateral,6302
LOINC,24983-9,XR Thoracic spine Views,-1
LOINC,56536-6,Thyroglobulin Ab [Units/volume] in Serum or Plasma by Immunoassay,1193
LOINC,8098-6,Thyroglobulin Ab [Units/volume] in Serum or Plasma,619
LOINC,3053-6,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma,482
LOINC,3026-2,Thyroxine (T4) [Mass/volume] in Serum or Plasma,394
LOINC,37323-3,XR Sternoclavicular joint - bilateral Views,-1
LOINC,21560-8,Thermoactinomyces candidus Ab [Presence] in Serum,3496
LOINC,46154-1,Trichomonas vaginalis rRNA [Presence] in Specimen by NAA with probe detection,563
LOINC,56477-3,Thyroperoxidase Ab [Units/volume] in Serum or Plasma by Immunoassay,2697
LOINC,8099-4,Thyroperoxidase Ab [Units/volume] in Serum or Plasma,551
LOINC,30567-2,Thyroid stimulating immunoglobulins [Units/volume] in Serum,1465
LOINC,3021-3,Thyroxine binding globulin [Mass/volume] in Serum or Plasma,4466
LOINC,21565-7,tiaGABine [Mass/volume] in Serum or Plasma,10323
LOINC,28009-9,Volume of Urine,599
LOINC,53819-9,Thiopurine methyltransferase [Enzymatic activity/volume] in Blood,3722
LOINC,36922-3,TPMT gene targeted mutation analysis in Blood or Tissue by Molecular genetics method,7086
LOINC,20659-9,Tryptophan [Moles/volume] in Serum or Plasma,2837
LOINC,25139-7,Tryptophan/Creatinine [Molar ratio] in Urine,12511
LOINC,20657-3,Taurine [Moles/volume] in Serum or Plasma,2795
LOINC,11579-0,Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.05 mIU/L,140
LOINC,64084-7,Mycobacterium tuberculosis stimulated gamma interferon release by CD4+ T-cells [Units/volume] corrected for background in Blood,555
LOINC,88517-8,Mycobacterium tuberculosis stimulated gamma interferon release by CD4+ and CD8+ T-cells [Units/volume] corrected for background in Blood,620
LOINC,66760-0,Coagulation index in Blood by Thromboelastography,19612
LOINC,2990-0,Testosterone.free+weakly bound [Mass/volume] in Serum or Plasma,755
LOINC,24994-6,XR Sternum Views,-1
LOINC,11580-8,Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L,145
LOINC,5385-0,Thyrotropin receptor Ab [Units/volume] in Serum,2617
LOINC,40673-6,Thyrotropin binding inhibitory immunoglobulins [Units/volume] in Serum,6967
LOINC,29316-7,Thyrotropin [Units/volume] in Serum or Plasma --30 minutes post XXX challenge,18684
LOINC,36672-4,XR Tibia and Fibula - left 2 Views,-1
LOINC,50333-4,Tetradecanedioate/Creatinine [Mass Ratio] in Urine,7052
LOINC,3426-4,Tetrahydrocannabinol [Presence] in Urine,1827
LOINC,20658-1,Threonine [Moles/volume] in Serum or Plasma,2844
LOINC,22688-6,Threonine/Creatinine [Molar ratio] in Urine,12170
LOINC,3243-3,Thrombin time,1159
LOINC,2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma,192
LOINC,10380-4,Stomatocytes [Presence] in Blood by Light microscopy,1448
LOINC,14999-7,Thyrotropin [Units/volume] in Serum or Plasma --baseline,17267
LOINC,6271-1,Turkey meat IgE Ab [Units/volume] in Serum,5364
LOINC,20660-7,Tyrosine [Moles/volume] in Serum or Plasma,2807
LOINC,22685-2,Tyrosine/Creatinine [Molar ratio] in Urine,12576
LOINC,11253-2,Tacrolimus [Mass/volume] in Blood,228
LOINC,74097-7,Tacrolimus [Mass/volume] in Blood by LC/MS/MS,655
LOINC,10381-2,Target cells [Presence] in Blood by Light microscopy,560
LOINC,24444-2,Tiglylglycine/Creatinine [Molar ratio] in Urine,9042
LOINC,19151-0,Specimen drawn [Date and time] of Serum or Plasma,1797
LOINC,9796-4,Color of Stone,2876
LOINC,9795-6,Composition in Stone,1254
LOINC,9804-6,Weight of Stone,1401
LOINC,9397-1,Color of Stool,9225
LOINC,11029-6,Consistency of Stool,7404
LOINC,625-4,Bacteria identified in Stool by Culture,401
LOINC,26614-8,Taurine [Moles/volume] in Cerebral spinal fluid,8450
SNOMED CT,248538007,Education (finding),-1
LOINC,7791-7,Dacrocytes [Presence] in Blood by Light microscopy,638
LOINC,10343-2,Temazepam [Mass/volume] in Serum or Plasma,9106
LOINC,16206-5,Temazepam [Presence] in Urine by Confirmatory method,3681
LOINC,26165-1,XR Tibia and Fibula - right Views,5940
LOINC,25011-8,XR Tibia and Fibula Views,7420
LOINC,45342-3,Tick identified in Specimen,13394
LOINC,76007-4,Tidal volume expired Respiratory system airway --on ventilator,-1
LOINC,6265-3,Timothy IgE Ab [Units/volume] in Serum,1436
LOINC,37410-8,RF Temporomandibular joint - left Arthrogram,-1
LOINC,37818-2,RF Temporomandibular joint - right Arthrogram,-1
LOINC,10851-4,Escherichia coli O157:H7 [Presence] in Stool by Organism specific culture,4327
LOINC,6579-7,Vibrio sp identified in Stool by Organism specific culture,10197
LOINC,8327-9,Body temperature measurement site,-1
LOINC,2986-8,Testosterone [Mass/volume] in Serum or Plasma,309
LOINC,46128-5,Tissue transglutaminase IgA Ab [Units/volume] in Serum by Immunoassay,985
LOINC,56537-4,Tissue transglutaminase IgG Ab [Units/volume] in Serum by Immunoassay,2428
LOINC,29638-4,Weight of Tissue,7369
LOINC,43408-4,Bacteria identified in Tissue by Culture,1743
LOINC,28549-4,Yersinia sp identified in Stool by Organism specific culture,8890
LOINC,17606-5,Volume of Stool,14980
LOINC,42327-7,Leukocytes [Presence] in Stool by Methylene blue stain,1756
LOINC,15432-8,Testosterone Free/Testosterone.total in Serum or Plasma,705
LOINC,26164-4,XR Tibia and Fibula - left Views,5836
LOINC,37815-8,XR Tibia and Fibula - right 2 Views,-1
LOINC,37325-8,XR Temporomandibular joint - bilateral Views,-1
LOINC,547-0,Streptococcus.beta-hemolytic [Presence] in Specimen by Organism specific culture,1329
LOINC,22566-4,Streptococcus pyogenes enzyme Ab [Presence] in Serum,7780
LOINC,22567-2,Streptococcus pyogenes enzyme Ab [Titer] in Serum,8981
LOINC,20112-9,Tidal volume setting Ventilator,1432
LOINC,32572-0,Tilapia IgE Ab [Units/volume] in Serum,7002
LOINC,49049-0,Collection time of Specimen,1396
LOINC,49023-5,Microalbumin [Mass/time] in Urine collected for unspecified duration,6486
LOINC,30889-0,XR Temporomandibular joint - left Views,-1
LOINC,30564-9,Tetradecadienoylcarnitine (C14:2) [Moles/volume] in Serum or Plasma,2445
LOINC,30565-6,Tetradecanoylcarnitine (C14) [Moles/volume] in Serum or Plasma,2367
LOINC,81228-9,Tobacco product,4081
LOINC,35670-9,Tobramycin [Mass/volume] in Serum or Plasma,1980
LOINC,4057-6,Tobramycin [Mass/volume] in Serum or Plasma --peak,2384
LOINC,48490-7,XR Temporomandibular joint - right Open and Closed mouth,-1
LOINC,30890-8,XR Temporomandibular joint - right Views,-1
LOINC,25000-1,XR Temporomandibular joint Views,-1
LOINC,10718-5,Strongyloides sp Ab [Units/volume] in Serum by Immunoassay,-1
LOINC,7723-0,Sugar Cane IgE Ab [Units/volume] in Serum,6550
SNOMED CT,8521000175109,Suicide plan (observable entity),-1
LOINC,30566-4,Tetradecenoylcarnitine (C14:1) [Moles/volume] in Serum or Plasma,2446
SNOMED CT,271559000,Obsessional thoughts of causing harm to others (finding),-1
LOINC,93374-7,Suicide risk level,-1
LOINC,53525-2,Protein [Presence] in Urine by SSA method,4333
LOINC,17915-0,Bacteria identified in Wound shallow by Aerobe culture,356
LOINC,8455-8,Diastolic blood pressure--supine,2787
LOINC,68999-2,Heart rate --supine,3642
LOINC,8461-6,Systolic blood pressure--supine,2786
LOINC,4049-3,Theophylline [Mass/volume] in Serum or Plasma,2271
LOINC,3002-3,Thiocyanate [Mass/volume] in Serum or Plasma,3246
LOINC,21563-2,Thiopurine methyltransferase [Enzymatic activity/volume] in Red Blood Cells,3408
LOINC,71845-2,Oxygen saturation [Pure mass fraction] in Venous blood,3897
SNOMED CT,288939007,Difficulty swallowing (finding),-1
LOINC,33514-1,Volume of Sweat,9962
LOINC,6260-4,Sweet gum IgE Ab [Units/volume] in Serum,6598
LOINC,44260-8,"Thoughts that you would be better off dead, or of hurting yourself in some way in last 2 weeks [Reported.PHQ]",-1
LOINC,22643-1,Threonine [Moles/volume] in Cerebral spinal fluid,8686
LOINC,626-2,Bacteria identified in Throat by Culture,1026
LOINC,6821-3,Thermoactinomyces vulgaris Ab [Presence] in Serum by Immune diffusion (ID),5071
LOINC,3051-0,Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma,320
LOINC,3052-8,Triiodothyronine (T3).reverse [Mass/volume] in Serum or Plasma,1453
LOINC,6858-5,Squid IgE Ab [Units/volume] in Serum,7590
LOINC,10906-6,Saint Louis encephalitis virus IgG Ab [Titer] in Serum by Immunofluorescence,8746
LOINC,10907-4,Saint Louis encephalitis virus IgM Ab [Titer] in Serum by Immunofluorescence,9032
LOINC,29616-0,Stachybotrys chartarum IgE Ab [Units/volume] in Serum,8072
LOINC,8454-1,Diastolic blood pressure--standing,2713
LOINC,69001-6,Heart rate --standing,4069
LOINC,8460-8,Systolic blood pressure--standing,2714
LOINC,67126-3,Cannabinoids synthetic [Presence] in Urine by Confirmatory method,9335
LOINC,8831-0,Systemic vascular Resistance,4524
LOINC,8837-7,Systemic vascular Resistance index,4391
LOINC,3050-2,Triiodothyronine resin uptake (T3RU) in Serum or Plasma,716
LOINC,30560-7,Stearoylcarnitine (C18) [Moles/volume] in Serum or Plasma,2447
LOINC,8453-3,Diastolic blood pressure--sitting,246
LOINC,69000-8,Heart rate --sitting,2219
